;Mkt-RF;SMB;HML;RF
201512;   -2.17;   -2.81;   -2.59;    0.01
201601;   -5.77;   -3.39;    2.07;    0.01
201602;   -0.08;    0.81;   -0.58;    0.02
201603;    6.96;    0.75;    1.10;    0.02
201604;    0.92;    0.68;    3.19;    0.01
201605;    1.78;   -0.19;   -1.65;    0.01
201606;   -0.05;    0.58;   -1.45;    0.02
201607;    3.95;    2.51;   -1.29;    0.02
201608;    0.50;    1.17;    3.11;    0.02
201609;    0.25;    2.13;   -1.21;    0.02
201610;   -2.02;   -4.41;    4.12;    0.02
201611;    4.86;    5.67;    8.21;    0.01
201612;    1.82;    0.09;    3.60;    0.03
201701;    1.94;   -1.13;   -2.74;    0.04
201702;    3.57;   -2.04;   -1.67;    0.04
201703;    0.17;    1.13;   -3.33;    0.03
201704;    1.09;    0.72;   -2.13;    0.05
201705;    1.06;   -2.52;   -3.75;    0.06
201706;    0.78;    2.23;    1.49;    0.06
201707;    1.87;   -1.46;   -0.22;    0.07
201708;    0.16;   -1.65;   -2.07;    0.09
201709;    2.51;    4.45;    3.09;    0.09
201710;    2.25;   -1.93;    0.22;    0.09
201711;    3.12;   -0.56;   -0.05;    0.08
201712;    1.06;   -1.32;    0.03;    0.09
201801;    5.58;   -3.18;   -1.36;    0.11
201802;   -3.65;    0.26;   -1.03;    0.11
201803;   -2.35;    4.06;   -0.23;    0.12
201804;    0.29;    1.10;    0.48;    0.14
201805;    2.65;    5.31;   -3.13;    0.14
201806;    0.48;    1.13;   -2.33;    0.14
201807;    3.19;   -2.25;    0.45;    0.16
201808;    3.44;    1.14;   -3.98;    0.16
201809;    0.06;   -2.30;   -1.70;    0.15
201810;   -7.68;   -4.82;    3.43;    0.19
201811;    1.69;   -0.68;    0.26;    0.18
201812;   -9.55;   -2.42;   -1.90;    0.19
201901;    8.41;    2.90;   -0.44;    0.21
201902;    3.40;    2.04;   -2.68;    0.18
201903;    1.10;   -2.98;   -4.05;    0.19
201904;    3.96;   -1.74;    2.17;    0.21
201905;   -6.94;   -1.34;   -2.37;    0.21
201906;    6.93;    0.25;   -0.71;    0.18
201907;    1.19;   -1.94;    0.42;    0.19
201908;   -2.58;   -2.32;   -4.95;    0.16
201909;    1.43;   -0.97;    6.83;    0.18
201910;    2.06;    0.28;   -1.93;    0.15
201911;    3.87;    0.80;   -2.02;    0.12
201912;    2.77;    0.72;    1.79;    0.14
202001;   -0.11;   -3.13;   -6.24;    0.13
202002;   -8.13;    1.03;   -3.79;    0.12
202003;  -13.38;   -4.89;  -14.02;    0.12
202004;   13.65;    2.47;   -1.18;    0.00
202005;    5.58;    2.45;   -4.80;    0.01
202006;    2.46;    2.69;   -2.04;    0.01
202007;    5.77;   -2.28;   -1.53;    0.01
202008;    7.63;   -0.26;   -2.92;    0.01
202009;   -3.63;    0.02;   -2.62;    0.01
202010;   -2.10;    4.41;    4.16;    0.01
